close,open,Thigh,low,volumn,datetime
96.2,96.2,96.3,96.2,2800,2021-11-05 03:24:00+00:00
96.3,96.3,96.3,96.3,2000,2021-11-05 03:25:00+00:00
96.2,96.2,96.2,96.2,1700,2021-11-05 03:26:00+00:00
96.3,96.3,96.3,96.2,2700,2021-11-05 03:27:00+00:00
96.3,96.2,96.3,96.2,1400,2021-11-05 03:28:00+00:00
96.2,96.2,96.2,96.2,1300,2021-11-05 03:29:00+00:00
96.3,96.2,96.3,96.2,11400,2021-11-05 03:30:00+00:00
96.2,96.2,96.2,96.2,11400,2021-11-05 03:31:00+00:00
96.2,96.2,96.2,96.2,1800,2021-11-05 03:32:00+00:00
96.2,96.2,96.2,96.1,3100,2021-11-05 03:33:00+00:00
96.2,96.2,96.3,96.2,2300,2021-11-05 03:34:00+00:00
96.1,96.2,96.2,96.1,1600,2021-11-05 03:36:00+00:00
96.2,96.1,96.2,96.1,600,2021-11-05 03:37:00+00:00
96.2,96.2,96.2,96.1,6700,2021-11-05 03:38:00+00:00
96.2,96.2,96.2,96.2,2100,2021-11-05 03:39:00+00:00
96.2,96.2,96.2,96.2,400,2021-11-05 03:40:00+00:00
96.2,96.2,96.2,96.2,3700,2021-11-05 03:41:00+00:00
96.2,96.2,96.2,96.2,400,2021-11-05 03:42:00+00:00
96.3,96.2,96.3,96.2,1900,2021-11-05 03:43:00+00:00
96.3,96.3,96.3,96.2,6500,2021-11-05 03:44:00+00:00
96.3,96.2,96.3,96.2,18800,2021-11-05 03:45:00+00:00
96.3,96.3,96.3,96.3,3900,2021-11-05 03:46:00+00:00
96.3,96.3,96.3,96.3,700,2021-11-05 03:47:00+00:00
96.3,96.3,96.3,96.3,700,2021-11-05 03:48:00+00:00
96.3,96.3,96.3,96.3,2000,2021-11-05 03:49:00+00:00
96.3,96.3,96.3,96.3,6000,2021-11-05 03:50:00+00:00
96.3,96.3,96.3,96.3,4000,2021-11-05 03:51:00+00:00
96.4,96.3,96.4,96.3,600,2021-11-05 03:52:00+00:00
96.3,96.3,96.4,96.3,1800,2021-11-05 03:53:00+00:00
96.4,96.4,96.4,96.3,1700,2021-11-05 03:54:00+00:00
96.5,96.4,96.5,96.4,39400,2021-11-05 03:55:00+00:00
96.8,96.5,96.8,96.5,108100,2021-11-05 03:56:00+00:00
